subjectnumber,should,pinkscale,purpose,value,dv-order,condition,study,gender,dob,dot,age
P2013-216,1,-1,0,,,Means,Study 1,F,10/2/08,2/26/14,5.405479452
P2013-217,0,-1,1,,,Means,Study 1,M,1/2/09,2/26/14,5.153424658
P2013-218,0,0,0,,,Means,Study 1,M,12/6/08,2/26/14,5.22739726
P2013-219,1,2,0,,,Means,Study 1,M,3/13/09,2/26/14,4.961643836
P2013-281,0,-1,0,,,Means,Study 1,M,7/24/08,12/19/13,5.408219178
P2013-284,0,1,0,,,Means,Study 1,M,2/29/08,12/18/13,5.805479452
P2013-285,0,-1,0,,,Means,Study 1,M,6/14/08,12/14/13,5.504109589
P2013-294,0,-1,0,,,Means,Study 1,F,3/3/09,12/3/13,4.756164384
P2013-308,0,-2,1,,,Means,Study 1,F,,12/13/13,
P2013-309,0,0,0,,,Means,Study 1,F,8/19/08,12/19/13,5.336986301
P2013-312,0,-1,0,,,Means,Study 1,F,2/27/09,12/4/13,4.769863014
P2013-313,1,2,1,,,Means,Study 1,F,4/3/09,12/4/13,4.673972603
P2013-314,1,-1,0,,,Means,Study 1,F,3/24/09,12/4/13,4.701369863
P2013-315,1,2,1,,,Means,Study 1,M,4/21/09,12/4/13,4.624657534
P2014-14,0,-2,1,,,Means,Study 1,M,1/28/09,4/1/14,5.175342466
P2014-15,0,-1,0,,,Means,Study 1,M,11/21/08,4/1/14,5.361643836
P2014-17,0,-1,1,,,Means,Study 1,F,1/10/09,4/1/14,5.224657534
P2014-18,0,-1,1,,,Means,Study 1,F,1/15/08,4/1/14,6.21369863
P2014-19,0,-1,1,,,Means,Study 1,M,4/3/08,4/1/14,5.997260274
P2014-20,1,2,0,,,Means,Study 1,F,12/16/09,4/1/14,4.293150685
P2014-26,0,-2,1,,,Means,Study 1,M,7/6/09,4/8/14,4.75890411
P2014-27,0,-1,0,,,Means,Study 1,M,5/4/09,4/8/14,4.931506849
P2014-29,0,0,1,,,Means,Study 1,F,3/26/09,4/8/14,5.038356164
