subjectnumber,dob,dot,age,Gender,excluded,Experimenter,reason,notes,screen1a,screen1b,screen2a,screen2b,screen3a,screen3b,screen4a,screen4b,condition,control1,control2,control3,control4,control5,control6,control7,should,likert
M1,8/1/15,10/7/19,4.18630137,F,0,Han,,,0,-2,1,0,,,,,1,2,2,1,1,1,1,1,1,0
M2,5/15/14,10/7/19,5.4,M,0,Han,,day of birth was not given,0,-2,1,2,,,,,6,1,1,,1,1,,1,0,-2
M3,10/15/12,10/7/19,6.980821918,F,0,Han,,,0,-2,1,2,,,,,1,1,1,1,1,1,1,1,1,0
M4,8/9/13,10/7/19,6.164383562,F,0,Han,,,0,-2,1,2,,,,,6,1,1,,1,1,,1,0,-2
M5,4/6/14,10/7/19,5.506849315,M,0,Han,,,0,-2,1,2,,,,,1,1,1,1,1,1,1,1,1,0
M6,6/18/14,10/11/19,5.317808219,M,0,Han,,"mother did not allow filming, kid was also fairly distracted",0,-2,1,2,,,,,6,1,2,,1,1,,1,0,-1
M7,3/14/14,10/18/19,5.6,M,0,Han,,Brother also tried to answer,0,-2,1,2,,,,,1,1,1,1,1,1,1,1,0,-2
M8,10/21/15,10/21/19,4.002739726,F,0,Han,,,1,0,1,2,,,0,-2,6,2,2,,1,1,,1,1,-2
M9,9/18/15,10/28/19,4.112328767,F,1,Han,watch video; mother assisted,subject was very shy,0,-2,1,2,,,,,1,1,2,1,1,1,1,1,1,1
M10,10/8/13,10/28/19,6.057534247,F,0,Han,,,0,-2,1,2,,,,,6,2,2,,1,1,,1,0,-1
M11,3/12/13,10/28/19,6.632876712,M,0,Han,,"overheard M10, could have been influenced",0,-2,1,2,,,,,1,1,1,1,1,1,1,1,0,-2
M12,11/4/14,11/1/19,4.994520548,M,0,Han,,,0,-2,1,2,,,,,6,1,2,,1,1,,1,0,-1
M13,6/25/15,11/1/19,4.356164384,M,1,Han,failed control questions,Questions were prompted again by parents,0,-2,1,2,,,,,1,2,2,1,1,1,1,0,0,-2
M14,5/9/13,11/5/19,6.495890411,M,0,Noelle,,,0,-2,1,2,,,,,6,2,2,,1,1,,1,0,-1
M15,3/17/14,11/5/19,5.64109589,F,0,Noelle,,,0,-2,1,2,,,,,1,1,1,1,1,1,1,1,1,2
M16,5/23/15,11/5/19,4.457534247,F,0,Noelle,,,0,-2,1,0,,,,,6,1,1,,1,1,,1,0,-2
M17,7/14/14,11/8/19,5.323287671,M,0,Han,,,0,-2,1,2,,,,,1,1,1,1,1,1,1,1,0,0
M18,12/27/14,11/8/19,4.868493151,M,0,Han,,,0,-2,1,2,,,,,6,1,1,,1,1,,1,0,-2
M19,12/23/14,11/8/19,4.879452055,M,0,Han,,,0,-2,1,2,,,,,1,1,1,1,1,1,1,1,0,-1
M20,2/6/12,11/8/19,7.75890411,F,1,Han,"out of age range
",,0,-2,1,1,,,,,6,2,2,,1,1,,1,0,-1
M21,6/8/15,11/8/19,4.421917808,"F
",0,Han,,,0,-2,1,0,,,,,1,2,2,1,1,1,1,1,0,-1
M22,4/16/14,11/10/19,5.57260274,F,0,Bracha,,,0,-2,1,2,,,,,6,1,1,,1,1,,1,0,-2
M23,11/27/12,11/10/19,6.956164384,F,0,Bracha,,"""Girl decided she has lots of cookies""",0,-1,1,2,,,,,1,1,1,1,1,1,2,1,0,0
M24,6/30/14,11/10/19,5.367123288,M,0,Bracha,,Sister was there and interjected,0,-2,1,2,,,,,6,1,1,,1,1,,1,0,-1
M25,5/29/13,11/10/19,6.454794521,F,0,Bracha,,"""Warned girl about squirrel""; ""both girl and squirrel got to eat so it's fair""",0,-2,1,2,,,,,1,2,1,1,1,1,1,1,0,0
M26,7/1/14,11/10/19,5.364383562,F,0,Bracha,,,0,-2,1,2,,,,,6,1,1,,1,1,,1,0,-1
M27,12/16/12,11/10/19,6.904109589,M,1,Bracha,Failed screening,,0,-2,0,0,0,0,,,,,,,,,,,,
M28,10/7/14,11/12/19,5.101369863,F,0,Noelle,,Pointed without words for 1st control,0,-2,1,2,,,,,6,2,1,,1,1,,1,0,-2
M29,6/15/14,11/12/19,5.41369863,M,1,Bracha,failed screening,,0,-2,0,-1,0,0,,,,,,,,,,,,
M30,6/8/15,11/15/19,4.44109589,M,1,Han,Failed Screening,,0,-2,0,-2,0,-1 or -2,,,,,,,,,,,,
M31,7/19/13,11/15/19,6.328767123,M,0,Alexis,,,0,-2,1,2,,,,,1,1,1,1,1,1,1,1,0,-1
M32,6/8/15,11/15/19,4.44109589,M,0,Han,,,0,0,1,0,,,,,6,2,1,,1,1,,1,0,0
M33,10/21/14,11/15/19,5.071232877,F,0,Han,,,0,-2,1,0,,,,,1,1,1,1,1,1,1,?,0,-2
M34,11/30/15,11/17/19,3.967123288,M,0,Alexis,,,0,-2,1,0,,,,,6,1,1,,1,1,,1,0,-2
M35,3/13/14,11/17/19,5.684931507,F,1,Bracha,failed screening stories,,1,-2,1,2,,,1,-2,1,,,,,,,,,
